char	codepoint	low_byte	ascii_if_printable
倢	U+5022	0x22	"
倣	U+5023	0x23	#
値	U+5024	0x24	$
倥	U+5025	0x25	%
倦	U+5026	0x26	&
倧	U+5027	0x27	'
倨	U+5028	0x28	(
倩	U+5029	0x29	)
倪	U+502A	0x2A	*
倫	U+502B	0x2B	+
倬	U+502C	0x2C	,
倭	U+502D	0x2D	-
倮	U+502E	0x2E	.
倯	U+502F	0x2F	/
倰	U+5030	0x30	0
倱	U+5031	0x31	1
倲	U+5032	0x32	2
倳	U+5033	0x33	3
倴	U+5034	0x34	4
倵	U+5035	0x35	5
倶	U+5036	0x36	6
倷	U+5037	0x37	7
倸	U+5038	0x38	8
倹	U+5039	0x39	9
债	U+503A	0x3A	:
倻	U+503B	0x3B	;
值	U+503C	0x3C	<
倽	U+503D	0x3D	=
倾	U+503E	0x3E	>
倿	U+503F	0x3F	?
偀	U+5040	0x40	@
偁	U+5041	0x41	A
偂	U+5042	0x42	B
偃	U+5043	0x43	C
偄	U+5044	0x44	D
偅	U+5045	0x45	E
偆	U+5046	0x46	F
假	U+5047	0x47	G
偈	U+5048	0x48	H
偉	U+5049	0x49	I
偊	U+504A	0x4A	J
偋	U+504B	0x4B	K
偌	U+504C	0x4C	L
偍	U+504D	0x4D	M
偎	U+504E	0x4E	N
偏	U+504F	0x4F	O
偐	U+5050	0x50	P
偑	U+5051	0x51	Q
偒	U+5052	0x52	R
偓	U+5053	0x53	S
偔	U+5054	0x54	T
偕	U+5055	0x55	U
偖	U+5056	0x56	V
偗	U+5057	0x57	W
偘	U+5058	0x58	X
偙	U+5059	0x59	Y
做	U+505A	0x5A	Z
偛	U+505B	0x5B	[
停	U+505C	0x5C	\
偝	U+505D	0x5D	]
偞	U+505E	0x5E	^
偟	U+505F	0x5F	_
偠	U+5060	0x60	`
偡	U+5061	0x61	a
偢	U+5062	0x62	b
偣	U+5063	0x63	c
偤	U+5064	0x64	d
健	U+5065	0x65	e
偦	U+5066	0x66	f
偧	U+5067	0x67	g
偨	U+5068	0x68	h
偩	U+5069	0x69	i
偪	U+506A	0x6A	j
偫	U+506B	0x6B	k
偬	U+506C	0x6C	l
偭	U+506D	0x6D	m
偮	U+506E	0x6E	n
偯	U+506F	0x6F	o
偰	U+5070	0x70	p
偱	U+5071	0x71	q
偲	U+5072	0x72	r
偳	U+5073	0x73	s
側	U+5074	0x74	t
偵	U+5075	0x75	u
偶	U+5076	0x76	v
偷	U+5077	0x77	w
偸	U+5078	0x78	x
偹	U+5079	0x79	y
偺	U+507A	0x7A	z
偻	U+507B	0x7B	{
偼	U+507C	0x7C	|
偽	U+507D	0x7D	}
偾	U+507E	0x7E	~
偿	U+507F	0x7F	
傀	U+5080	0x80	
傁	U+5081	0x81	
傂	U+5082	0x82	
傃	U+5083	0x83	
傄	U+5084	0x84	
傅	U+5085	0x85	
傆	U+5086	0x86	
傇	U+5087	0x87	
傈	U+5088	0x88	
傉	U+5089	0x89	
傊	U+508A	0x8A	
傋	U+508B	0x8B	
傌	U+508C	0x8C	
傍	U+508D	0x8D	
傎	U+508E	0x8E	
傏	U+508F	0x8F	
傐	U+5090	0x90	
傑	U+5091	0x91	
傒	U+5092	0x92	
傓	U+5093	0x93	
傔	U+5094	0x94	
傕	U+5095	0x95	
傖	U+5096	0x96	
傗	U+5097	0x97	
傘	U+5098	0x98	
備	U+5099	0x99	
傚	U+509A	0x9A	
傛	U+509B	0x9B	
傜	U+509C	0x9C	
傝	U+509D	0x9D	
傞	U+509E	0x9E	
傟	U+509F	0x9F	
傠	U+50A0	0xA0	
傡	U+50A1	0xA1	
傢	U+50A2	0xA2	
傣	U+50A3	0xA3	
傤	U+50A4	0xA4	
傥	U+50A5	0xA5	
傦	U+50A6	0xA6	
傧	U+50A7	0xA7	
储	U+50A8	0xA8	
傩	U+50A9	0xA9	
傪	U+50AA	0xAA	
傫	U+50AB	0xAB	
催	U+50AC	0xAC	
傭	U+50AD	0xAD	
傮	U+50AE	0xAE	
傯	U+50AF	0xAF	
傰	U+50B0	0xB0	
傱	U+50B1	0xB1	
傲	U+50B2	0xB2	
傳	U+50B3	0xB3	
傴	U+50B4	0xB4	
債	U+50B5	0xB5	
傶	U+50B6	0xB6	
傷	U+50B7	0xB7	
傸	U+50B8	0xB8	
傹	U+50B9	0xB9	
傺	U+50BA	0xBA	
傻	U+50BB	0xBB	
傼	U+50BC	0xBC	
傽	U+50BD	0xBD	
傾	U+50BE	0xBE	
傿	U+50BF	0xBF	
僀	U+50C0	0xC0	
僁	U+50C1	0xC1	
僂	U+50C2	0xC2	
僃	U+50C3	0xC3	
僄	U+50C4	0xC4	
僅	U+50C5	0xC5	
僆	U+50C6	0xC6	
僇	U+50C7	0xC7	
僈	U+50C8	0xC8	
僉	U+50C9	0xC9	
僊	U+50CA	0xCA	
僋	U+50CB	0xCB	
僌	U+50CC	0xCC	
働	U+50CD	0xCD	
僎	U+50CE	0xCE	
像	U+50CF	0xCF	
僐	U+50D0	0xD0	
僑	U+50D1	0xD1	
僒	U+50D2	0xD2	
僓	U+50D3	0xD3	
僔	U+50D4	0xD4	
僕	U+50D5	0xD5	
僖	U+50D6	0xD6	
僗	U+50D7	0xD7	
僘	U+50D8	0xD8	
僙	U+50D9	0xD9	
僚	U+50DA	0xDA	
僛	U+50DB	0xDB	
僜	U+50DC	0xDC	
僝	U+50DD	0xDD	
僞	U+50DE	0xDE	
僟	U+50DF	0xDF	
僠	U+50E0	0xE0	
僡	U+50E1	0xE1	
僢	U+50E2	0xE2	
僣	U+50E3	0xE3	
僤	U+50E4	0xE4	
僥	U+50E5	0xE5	
僦	U+50E6	0xE6	
僧	U+50E7	0xE7	
僨	U+50E8	0xE8	
僩	U+50E9	0xE9	
僪	U+50EA	0xEA	
僫	U+50EB	0xEB	
僬	U+50EC	0xEC	
僭	U+50ED	0xED	
僮	U+50EE	0xEE	
僯	U+50EF	0xEF	
僰	U+50F0	0xF0	
僱	U+50F1	0xF1	
僲	U+50F2	0xF2	
僳	U+50F3	0xF3	
僴	U+50F4	0xF4	
僵	U+50F5	0xF5	
僶	U+50F6	0xF6	
僷	U+50F7	0xF7	
僸	U+50F8	0xF8	
價	U+50F9	0xF9	
僺	U+50FA	0xFA	
僻	U+50FB	0xFB	
僼	U+50FC	0xFC	
僽	U+50FD	0xFD	
僾	U+50FE	0xFE	
僿	U+50FF	0xFF	
儀	U+5100	0x00	
儁	U+5101	0x01	
儂	U+5102	0x02	
儃	U+5103	0x03	
億	U+5104	0x04	
儅	U+5105	0x05	
儆	U+5106	0x06	
儇	U+5107	0x07	
儈	U+5108	0x08	
儉	U+5109	0x09	
儊	U+510A	0x0A	
儋	U+510B	0x0B	
儌	U+510C	0x0C	
儍	U+510D	0x0D	
儎	U+510E	0x0E	
儏	U+510F	0x0F	
儐	U+5110	0x10	
儑	U+5111	0x11	
儒	U+5112	0x12	
儓	U+5113	0x13	
儔	U+5114	0x14	
儕	U+5115	0x15	
儖	U+5116	0x16	
儗	U+5117	0x17	
儘	U+5118	0x18	
儙	U+5119	0x19	
儚	U+511A	0x1A	
儛	U+511B	0x1B	
儜	U+511C	0x1C	
儝	U+511D	0x1D	
儞	U+511E	0x1E	
償	U+511F	0x1F	
儠	U+5120	0x20	 
儡	U+5121	0x21	!
儢	U+5122	0x22	"
儣	U+5123	0x23	#
儤	U+5124	0x24	$
儥	U+5125	0x25	%
儦	U+5126	0x26	&
儧	U+5127	0x27	'
儨	U+5128	0x28	(
儩	U+5129	0x29	)
優	U+512A	0x2A	*
儫	U+512B	0x2B	+
